player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,BOS,TOR,Sonny Gray,543243,,,,,5.08,15.0,2.49,4.44,4.34,1.92,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,TOR,BOS,Trey Yesavage,702056,,,,,5.03,15.0,2.46,4.24,5.08,2.2,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,CLE,MIL,Parker Messick,800048,,,,,5.37,16.0,2.28,4.35,6.23,1.72,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,TEX,MIN,Jack Leiter,683004,,,,,5.53,17.0,2.51,4.47,5.78,2.32,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,MIN,TEX,Joe Ryan,657746,,,,,5.05,15.0,2.24,4.11,5.69,1.82,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,SEA,BAL,Bryan Woo,693433,,,,,5.51,17.0,2.43,4.37,5.59,1.99,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,BAL,SEA,Shane Baz,669358,,,,,5.57,17.0,2.76,4.93,5.83,2.62,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,PHI,NYM,Aaron Nola,605400,,,,,5.09,15.0,2.61,4.54,4.69,2.22,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,NYY,CWS,Ryan Weathers,677960,,,,,5.4,16.0,2.33,4.25,6.61,1.86,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,KC,STL,Noah Cameron,702070,,,,,5.19,16.0,2.67,4.92,4.8,2.08,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
pitcher,STL,KC,Matthew Liberatore,669461,,,,,5.23,16.0,2.55,4.49,5.2,2.26,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18
hitter,BOS,TOR,Mickey Gasper,681508,1.0,DH,Confirmed,2.6,,,,,0.97,0.08,0.27,0.14,0.1,0.52,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,BOS,TOR,Ceddanne Rafaela,678882,2.0,CF,Confirmed,3.98,,,,,1.37,0.13,0.52,0.23,0.17,0.92,0.0,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,BOS,TOR,Wilyer Abreu,677800,3.0,RF,Confirmed,3.75,,,,,1.19,0.21,0.48,0.24,0.19,0.91,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,BOS,TOR,Willson Contreras,575929,4.0,1B,Confirmed,4.04,,,,,1.42,0.16,0.45,0.23,0.2,0.89,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,BOS,TOR,Jarren Duran,680776,5.0,LF,Confirmed,4.0,,,,,1.46,0.19,0.45,0.25,0.22,0.92,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,BOS,TOR,Isiah Kiner-Falefa,643396,6.0,SS,Confirmed,2.92,,,,,0.96,0.08,0.39,0.15,0.15,0.69,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,BOS,TOR,Caleb Durbin,702332,7.0,3B,Confirmed,3.2,,,,,0.88,0.08,0.34,0.15,0.13,0.62,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,BOS,TOR,Connor Wong,657136,8.0,C,Confirmed,2.72,,,,,0.93,0.09,0.3,0.13,0.11,0.55,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,BOS,TOR,Andruw Monasterio,655316,9.0,2B,Confirmed,3.21,,,,,0.95,0.05,0.41,0.16,0.15,0.72,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,George Springer,543807,1.0,DH,Confirmed,3.84,,,,,1.05,0.14,0.77,0.35,0.27,1.39,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,Vladimir Guerrero Jr.,665489,2.0,1B,Confirmed,3.99,,,,,0.89,0.2,0.81,0.39,0.3,1.49,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,Jesús Sánchez,660821,3.0,RF,Confirmed,3.15,,,,,0.89,0.1,0.45,0.2,0.17,0.82,0.0,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,Yohendrick Piñango,682818,4.0,LF,Confirmed,3.1,,,,,0.89,0.12,0.52,0.24,0.21,0.97,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,Ernie Clement,676391,5.0,2B,Confirmed,3.49,,,,,0.73,0.1,0.66,0.29,0.26,1.21,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,Nathan Lukes,664770,6.0,RF,Confirmed,3.55,,,,,0.81,0.14,0.58,0.23,0.21,1.02,0.0,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,Kazuma Okamoto,672960,7.0,3B,Confirmed,3.95,,,,,1.19,0.26,0.78,0.36,0.31,1.46,0.09,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,Brandon Valenzuela,678218,8.0,C,Confirmed,3.32,,,,,0.95,0.2,0.55,0.24,0.19,0.98,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TOR,BOS,Andrés Giménez,665926,9.0,SS,Confirmed,3.14,,,,,0.85,0.1,0.51,0.2,0.17,0.88,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,MIL,CLE,Christian Yelich,592885,1.0,DH,Confirmed,4.0,,,,,1.24,0.41,0.68,0.44,0.33,1.45,0.15,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,MIL,CLE,Jackson Chourio,694192,2.0,LF,Confirmed,4.23,,,,,1.18,0.52,0.9,0.57,0.43,1.9,0.2,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,MIL,CLE,Brice Turang,668930,3.0,2B,Confirmed,4.45,,,,,1.33,0.64,0.83,0.55,0.45,1.83,0.18,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,MIL,CLE,Andrew Vaughn,683734,4.0,1B,Confirmed,3.99,,,,,0.81,0.5,0.54,0.36,0.27,1.18,0.1,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,MIL,CLE,Jake Bauers,641343,5.0,RF,Confirmed,4.27,,,,,1.09,0.53,0.84,0.52,0.43,1.79,0.15,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,MIL,CLE,Gary Sánchez,596142,6.0,C,Confirmed,3.71,,,,,0.9,0.44,0.54,0.32,0.29,1.14,0.11,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,MIL,CLE,Blake Perkins,663368,7.0,CF,Confirmed,2.47,,,,,0.71,0.21,0.33,0.19,0.16,0.68,0.08,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,MIL,CLE,Cooper Pratt,806198,8.0,SS,Confirmed,3.67,,,,,0.9,0.36,0.64,0.33,0.28,1.24,0.1,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,MIL,CLE,Joey Ortiz,687401,9.0,3B,Confirmed,3.77,,,,,0.76,0.51,0.49,0.3,0.22,1.02,0.09,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,CLE,MIL,Travis Bazzana,683953,1.0,2B,Confirmed,3.97,,,,,0.74,0.34,0.43,0.25,0.15,0.83,0.02,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,CLE,MIL,David Fry,681807,2.0,LF,Confirmed,2.57,,,,,0.71,0.19,0.3,0.16,0.11,0.57,0.01,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,CLE,MIL,Brayan Rocchio,677587,3.0,SS,Confirmed,3.37,,,,,0.59,0.17,0.43,0.2,0.16,0.79,0.0,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,CLE,MIL,Rhys Hoskins,656555,4.0,1B,Confirmed,2.73,,,,,0.8,0.26,0.28,0.18,0.13,0.59,0.03,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,CLE,MIL,Kyle Manzardo,700932,5.0,DH,Confirmed,2.99,,,,,0.81,0.3,0.34,0.2,0.14,0.68,0.02,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,CLE,MIL,Gabriel Arias,672356,6.0,3B,Confirmed,3.58,,,,,0.77,0.27,0.72,0.3,0.28,1.3,0.02,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,CLE,MIL,Stuart Fairchild,656413,7.0,CF,Confirmed,3.58,,,,,0.77,0.27,0.71,0.3,0.24,1.24,0.02,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,CLE,MIL,Kahlil Watson,696135,8.0,RF,Confirmed,3.53,,,,,0.78,0.27,0.7,0.3,0.24,1.24,0.02,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,CLE,MIL,Austin Hedges,595978,9.0,C,Confirmed,2.65,,,,,0.71,0.2,0.23,0.12,0.09,0.44,0.01,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,TEX,MIN,Joc Pederson,592626,1.0,DH,Confirmed,2.91,,,,,1.13,0.14,0.49,0.24,0.18,0.92,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TEX,MIN,Josh Jung,673962,2.0,3B,Confirmed,4.14,,,,,0.98,0.19,0.88,0.41,0.31,1.6,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TEX,MIN,Wyatt Langford,694671,3.0,CF,Confirmed,3.56,,,,,1.18,0.16,0.69,0.32,0.28,1.29,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TEX,MIN,Brandon Nimmo,607043,4.0,RF,Confirmed,4.05,,,,,1.15,0.15,0.73,0.35,0.31,1.4,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,TEX,MIN,Ezequiel Duran,677649,5.0,SS,Confirmed,3.76,,,,,1.38,0.19,0.63,0.3,0.26,1.19,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
